,attributeID,cluster,tier2
786,786,36,"""tinned"" surface"
787,787,37,"""vetro a retorti"""
788,788,21,abalone
789,789,21,abalone shell
790,790,8,adhesive
791,791,28,adhesive (lime plaster )
792,792,9,agate
793,793,32,alabaster
794,794,28,alabaster (gypsum)
795,795,25,alabaster with paint and gilding
796,796,23,album leaf
797,797,23,album leaf
798,798,23,album of eight leaves
799,799,26,albumen and gelatin silver prints
800,800,26,albumen photograph
801,801,22,albumen print from glass negative
802,802,26,albumen silver print
803,803,22,albumen silver print from glass negative
804,804,26,albumen silver print from glass negatives
805,805,22,albumen silver print from paper negative
806,806,22,albumen silver print from waxed paper negative
807,807,26,albumen silver print with applied color
809,809,10,almost black
810,810,42,amber
812,812,33,ambrotype with applied color
813,813,9,amethyst
815,815,34,anhydrite
816,816,5,animal hide
817,817,19,aogai inlay
818,818,4,applewood or pearwood
819,819,33,applied
820,820,33,applied decoration
821,821,42,applied glass
822,822,33,applied handle
823,823,33,applied handles
824,824,36,applied metal
825,825,41,applied silver and gold
826,826,1,aquatint
827,827,1,aquatint and drypoint
828,828,18,aquatint printed in color with hand-coloring
829,829,29,ash
830,830,27,at bottom
831,831,29,atlantic white cedar
832,832,21,baleen
833,833,29,bamboo
834,834,21,banded
835,835,9,banded agate
836,836,34,basalt
837,837,7,basse taille enamel
838,838,29,basswood
839,839,3,bast fiber
840,840,41,beads
841,841,15,beauvais tapestry covers of silk and wool
842,842,29,beech
843,843,4,beechwood
844,844,20,before first state
845,845,36,bell metal
846,846,9,beryl
847,847,29,birch
849,849,37,bird's-eye maple
850,850,8,bitumen
851,851,10,black
852,852,11,black and brown ink
853,853,10,black and red chalk
854,854,10,black and red hiramakie
855,855,10,black and white chalk
856,856,10,black and white chalk on brown paper
857,857,10,black and white chalk on gray paper
858,858,32,black basalt ware
859,859,10,black chalk
860,860,10,black chalk and charcoal
861,861,10,black chalk and graphite
862,862,10,black chalk and gray wash
863,863,10,black chalk heightened with white
864,864,12,black chalk on blue paper
865,865,12,black chalk on brown paper
866,866,12,black chalk on laid paper
867,867,12,black chalk on off-white laid paper
868,868,10,black chalk or graphite
869,869,10,black crayon
870,870,10,black hiramakie
871,871,11,black ink
872,872,12,black ink and graphite on off-white wove paper
873,873,11,black ink and gray wash
874,874,12,black ink on off-white wove paper
875,875,10,black lacquer
876,876,37,black lacquer inlaid with mother-of-pearl
877,877,25,black lacquer patina
878,878,10,black marble
879,879,10,black paint
880,880,10,black steatite
881,881,10,black stone
882,882,10,black walnut
883,883,5,black wash
884,884,4,blackwork
885,885,6,blackwork and engraving
886,886,6,blackwork engraving
